codigo_clase,clase,codigo_seccion,seccion,codigo_division,gsectores,gsectores_label,total_plazas_equiv,n_establecimientos,n_matrices,n_provincias_present,n_cantones_present,effnum_industry_prov,effnum_industry_canton,ren_prov_pop,ren_prov_con,ren_canton_pop,ren_canton_con,tradable_prov_pop,tradable_prov_con,tradable_canton_pop,tradable_canton_con,tradability_pctile
G4762,Venta al por menor de grabaciones de música y de vídeo en comercios especializados.,G,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,4,Comercio,21.500000000000004,33,28,5,10,1.2092871157619358,1.2092871157619358,0.15230306751335715,0.24095192990777087,0.07094609830829611,0.16725773467063215,True,True,True,True,0.9425837320574163
C3230,Fabricación de artículos de deporte.,C,Industrias manufactureras.,C32,3,Industrias manufactureras,877.9999999999999,117,102,14,25,1.209493520940252,1.2194499367959994,0.15232906311142352,0.24099305639081198,0.07154232768242452,0.16866336481575242,True,True,True,True,0.9401913875598086
K6629,Otras actividades auxiliares de seguros y fondos de pensiones.,K,Actividades financieras y de seguros.,K66,6,Servicios,34.75,5,5,3,3,1.2096037062543041,1.2096037062543041,0.15234294034628887,0.24101501094876793,0.07096467194552608,0.16730152262461065,True,True,True,True,0.937799043062201
A0312,Pesca de agua dulce.,A,"Agricultura, ganadería,  silvicultura y pesca.",A03,1,"Agricultura, ganadería, silvicultura y pesca",962.4166666666666,82,61,18,39,1.2122483090864256,1.3833218714572508,0.15267601354159271,0.2415419512824022,0.081156317805128,0.19132865927749426,True,True,True,True,0.9354066985645934
K6612,Corretaje de valores y de contratos de productos básicos.,K,Actividades financieras y de seguros.,K66,6,Servicios,401.75000000000006,38,28,4,7,1.2272698974649017,1.2272698974649017,0.154567900058157,0.24453502105292846,0.07200110681862114,0.16974495155362976,True,True,True,True,0.9330143540669856
R9329,Otras actividades de esparcimiento y recreativas n.c.p.,R,"Artes, entretenimiento y recreación.",R93,6,Servicios,6535.16666666667,1600,979,24,192,1.2388409682196106,1.2760664740023302,0.15602521283970094,0.246840570986527,0.07486388991703481,0.17649405583577538,True,True,True,True,0.930622009569378
C3011,Construcción de buques y estructuras flotantes.,C,Industrias manufactureras.,C30,3,Industrias manufactureras,1080.7500000000005,199,173,12,31,1.2828183264706472,1.4117893583768213,0.16156391946732143,0.2556031131526661,0.08282643989545843,0.19526602643527893,True,True,True,True,0.9282296650717703
N8292,Actividades de envasado y empaquetado.,N,Actividades de servicios administrativos y de apoyo.,N82,6,Servicios,13016.749999999998,546,380,21,75,1.3310838928015658,1.3416181280474755,0.16764270234001968,0.2652200859988531,0.07870965493970114,0.18556057198119538,True,True,True,True,0.9258373205741627
C2817,Fabricación de maquinaria y equipo de oficina (excepto computadoras y equipo periférico).,C,Industrias manufactureras.,C28,3,Industrias manufactureras,26.9166666666667,16,11,5,7,1.3537792772335038,1.3537792772335038,0.1705010613040124,0.2697421689745149,0.07942312163793037,0.18724259293166676,True,True,True,True,0.9234449760765551
C3099,Fabricación de otros tipos de equipo de transporte n.c.p.,C,Industrias manufactureras.,C30,3,Industrias manufactureras,1.0,3,1,3,3,1.3846153846153852,1.3846153846153852,0.17438469959240413,0.2758863009078368,0.08123220525194187,0.19150756640201108,True,True,True,True,0.9210526315789473
C1311,Preparación e hilatura de fibras textiles.,C,Industrias manufactureras.,C13,3,Industrias manufactureras,709.4166666666674,63,52,12,21,1.3957648474425888,1.8329656037551425,0.17578891317210418,0.27810784494864715,0.10753588310399076,0.2535193426088123,True,True,True,True,0.9186602870813397
G4781,"Venta al por menor de alimentos, bebidas y tabaco en puestos de venta y mercados.",G,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,4,Comercio,1053.083333333333,293,204,23,77,1.4064303058189345,1.4420503107369438,0.17713216905069676,0.2802329505134346,0.08460178048501826,0.19945144962780256,True,True,True,True,0.916267942583732
C1080,Elaboración de alimentos preparados para animales.,C,Industrias manufactureras.,C10,3,Industrias manufactureras,5582.916666666663,312,215,20,69,1.433482417711925,2.22428052624473,0.18053923389932955,0.2856231167392528,0.13049343106641767,0.3076425087497035,True,True,True,True,0.9138755980861244
H4912,Transporte de carga por ferrocarril.,H,Transporte y almacenamiento.,H49,6,Servicios,8.33333333333333,6,6,2,3,1.4446691707598953,1.8989745537409788,0.1819481439774352,0.2878520909019451,0.11140847662945132,0.2626491078223131,True,True,True,True,0.9114832535885168
C3092,Fabricación de bicicletas y de sillas de ruedas para inválidos.,C,Industrias manufactureras.,C30,3,Industrias manufactureras,65.33333333333337,20,16,9,10,1.4545385703941043,1.4545385703941043,0.1831911406315905,0.28981858079330175,0.0853344380034755,0.20117871356124756,True,True,True,True,0.9090909090909091
C1393,Fabricación de tapices y alfombras.,C,Industrias manufactureras.,C13,3,Industrias manufactureras,117.66666666666656,78,71,16,24,1.463854882076269,2.084681998122082,0.18436447889725968,0.29167486723692726,0.12230350596856975,0.28833449390954113,True,True,True,True,0.9066985645933014
