"hs_code","isic4_code","match_weight"
"010111","0141",0.333333333333333
"010111","0142",0.333333333333333
"010111","0144",0.333333333333333
"010119","0141",0.333333333333333
"010119","0142",0.333333333333333
"010119","0144",0.333333333333333
"010120","0141",0.333333333333333
"010120","0142",0.333333333333333
"010120","0144",0.333333333333333
"010210","0141",0.333333333333333
"010210","0142",0.333333333333333
"010210","0144",0.333333333333333
"010290","0141",0.333333333333333
"010290","0142",0.333333333333333
"010290","0144",0.333333333333333
"010310","0143",0.166666666666667
"010310","0145",0.166666666666667
"010310","0146",0.166666666666667
"010310","0149",0.166666666666667
"010310","0321",0.166666666666667
"010310","0322",0.166666666666667
"010391","0143",0.166666666666667
"010391","0145",0.166666666666667
"010391","0146",0.166666666666667
"010391","0149",0.166666666666667
"010391","0321",0.166666666666667
"010391","0322",0.166666666666667
"010392","0143",0.166666666666667
"010392","0145",0.166666666666667
"010392","0146",0.166666666666667
"010392","0149",0.166666666666667
"010392","0321",0.166666666666667
"010392","0322",0.166666666666667
"010410","0141",0.333333333333333
"010410","0142",0.333333333333333
"010410","0144",0.333333333333333
"010420","0141",0.333333333333333
"010420","0142",0.333333333333333
"010420","0144",0.333333333333333
"010511","0143",0.166666666666667
"010511","0145",0.166666666666667
"010511","0146",0.166666666666667
"010511","0149",0.166666666666667
"010511","0321",0.166666666666667
"010511","0322",0.166666666666667
"010519","0143",0.166666666666667
"010519","0145",0.166666666666667
"010519","0146",0.166666666666667
"010519","0149",0.166666666666667
"010519","0321",0.166666666666667
"010519","0322",0.166666666666667
"010591","0143",0.166666666666667
"010591","0145",0.166666666666667
"010591","0146",0.166666666666667
"010591","0149",0.166666666666667
"010591","0321",0.166666666666667
"010591","0322",0.166666666666667
"010599","0143",0.166666666666667
"010599","0145",0.166666666666667
"010599","0146",0.166666666666667
"010599","0149",0.166666666666667
"010599","0321",0.166666666666667
"010599","0322",0.166666666666667
"010600","0143",0.166666666666667
"010600","0145",0.166666666666667
"010600","0146",0.166666666666667
"010600","0149",0.166666666666667
"010600","0321",0.166666666666667
"010600","0322",0.166666666666667
"020110","1010",1
"020120","1010",1
"020130","1010",1
"020210","1010",1
"020220","1010",1
"020230","1010",1
"020311","1010",1
"020312","1010",1
"020319","1010",1
"020321","1010",1
"020322","1010",1
"020329","1010",1
"020410","1010",1
"020421","1010",1
"020422","1010",1
"020423","1010",1
"020430","1010",1
"020441","1010",1
"020442","1010",1
"020443","1010",1
"020450","1010",1
"020500","1010",1
"020610","1010",1
"020621","1010",1
"020622","1010",1
"020629","1010",1
"020630","1010",1
"020641","1010",1
"020649","1010",1
"020680","1010",1
"020690","1010",1
"020710","1010",1
"020721","1010",1
"020722","1010",1
"020723","1010",1
"020731","1010",1
"020739","1010",1
"020741","1010",1
"020742","1010",1
"020743","1010",1
"020750","1010",1
"020810","1010",1
"020820","0143",0.166666666666667
"020820","0145",0.166666666666667
"020820","0146",0.166666666666667
"020820","0149",0.166666666666667
"020820","0321",0.166666666666667
"020820","0322",0.166666666666667
"020890","1010",1
"020900","1010",1
"021011","1010",1
"021012","1010",1
"021019","1010",1
"021020","1010",1
"021090","1010",1
"030110","0311",0.25
"030110","0312",0.25
"030110","0321",0.25
"030110","0322",0.25
"030191","0311",0.25
"030191","0312",0.25
"030191","0321",0.25
"030191","0322",0.25
"030192","0311",0.25
"030192","0312",0.25
"030192","0321",0.25
"030192","0322",0.25
"030193","0311",0.25
"030193","0312",0.25
"030193","0321",0.25
"030193","0322",0.25
"030199","0311",0.25
"030199","0312",0.25
"030199","0321",0.25
"030199","0322",0.25
"030211","0311",0.25
"030211","0312",0.25
"030211","0321",0.25
"030211","0322",0.25
"030212","0311",0.25
"030212","0312",0.25
"030212","0321",0.25
"030212","0322",0.25
"030219","0311",0.25
"030219","0312",0.25
"030219","0321",0.25
"030219","0322",0.25
"030221","0311",0.25
"030221","0312",0.25
"030221","0321",0.25
"030221","0322",0.25
"030222","0311",0.25
"030222","0312",0.25
"030222","0321",0.25
"030222","0322",0.25
"030223","0311",0.25
"030223","0312",0.25
"030223","0321",0.25
"030223","0322",0.25
"030229","0311",0.25
"030229","0312",0.25
"030229","0321",0.25
"030229","0322",0.25
"030231","0311",0.25
"030231","0312",0.25
"030231","0321",0.25
"030231","0322",0.25
"030232","0311",0.25
"030232","0312",0.25
"030232","0321",0.25
"030232","0322",0.25
"030233","0311",0.25
"030233","0312",0.25
"030233","0321",0.25
"030233","0322",0.25
"030239","0311",0.25
"030239","0312",0.25
"030239","0321",0.25
"030239","0322",0.25
"030240","0311",0.25
"030240","0312",0.25
"030240","0321",0.25
"030240","0322",0.25
"030250","0311",0.25
"030250","0312",0.25
"030250","0321",0.25
"030250","0322",0.25
"030261","0311",0.25
"030261","0312",0.25
"030261","0321",0.25
"030261","0322",0.25
"030262","0311",0.25
"030262","0312",0.25
"030262","0321",0.25
"030262","0322",0.25
"030263","0311",0.25
"030263","0312",0.25
"030263","0321",0.25
"030263","0322",0.25
"030264","0311",0.25
"030264","0312",0.25
"030264","0321",0.25
"030264","0322",0.25
"030265","0311",0.25
"030265","0312",0.25
"030265","0321",0.25
"030265","0322",0.25
"030266","0311",0.25
"030266","0312",0.25
"030266","0321",0.25
"030266","0322",0.25
"030269","0311",0.25
"030269","0312",0.25
"030269","0321",0.25
"030269","0322",0.25
"030270","1020",0.5
"030270","1075",0.5
"030310","1020",0.5
"030310","1075",0.5
"030321","1020",0.5
"030321","1075",0.5
"030322","1020",0.5
"030322","1075",0.5
"030329","1020",0.5
"030329","1075",0.5
"030331","1020",0.5
"030331","1075",0.5
"030332","1020",0.5
"030332","1075",0.5
"030333","1020",0.5
"030333","1075",0.5
"030339","1020",0.5
"030339","1075",0.5
"030341","1020",0.5
"030341","1075",0.5
"030342","1020",0.5
"030342","1075",0.5
"030343","1020",0.5
"030343","1075",0.5
"030349","1020",0.5
"030349","1075",0.5
"030350","1020",0.5
"030350","1075",0.5
"030360","1020",0.5
"030360","1075",0.5
"030371","1020",0.5
"030371","1075",0.5
"030372","1020",0.5
"030372","1075",0.5
"030373","1020",0.5
"030373","1075",0.5
"030374","1020",0.5
"030374","1075",0.5
"030375","1020",0.5
"030375","1075",0.5
"030376","1020",0.5
