id_code,id_name,level,code,display_code,name_en,name_es,sector,gsector,gsector_label,plazas_equiv,plazas_equiv_share,n_estab,n_estab_share,wage_per_fte_nat,fte_per_firm_nat,n_firms_nat,n_firms_share_nat,wage_per_fte_pctile_lvl,fte_per_firm_pctile_lvl
01,AZUAY,section,A,A,"Agriculture, forestry and fishing",Agricultura,Primario,1,"Agricultura, ganadería, silvicultura y pesca",1661.3333333333333,0.009851408579462066,863,0.010711049881471,7200.0512705127985,12.569081603988904,18986.0,0.03567254758281194,21.052631578947366,68.42105263157895
01,AZUAY,section,B,B,Mining and quarrying,Minas y canteras,Primario,2,Explotación de minas y canteras,2831.916666666666,0.01679275771247288,324,0.004021297985627583,17968.203752988098,26.755432306645417,1361.0,0.0025571651353738047,100.0,84.21052631578947
01,AZUAY,section,C,C,Manufacturing,Manufactura,Secundario,3,Industrias manufactureras,18101.083333333332,0.10733617635286385,8303,0.10305196658847476,9984.943986812032,8.425264484985249,43347.0,0.08144411250775041,57.89473684210527,52.63157894736842
01,AZUAY,section,D,D,"Electricity, gas, steam and air conditioning supply",Electricidad,Secundario,6,Servicios,1512.4166666666672,0.00896835946572317,74,0.0009184446016556826,17860.869786368108,34.272948717948715,650.0,0.0012212765157920448,94.73684210526315,89.47368421052632
01,AZUAY,section,E,E,"Water supply; sewerage, waste management and remediation activities",Agua,Secundario,6,Servicios,965.5000000000003,0.005725241763726302,263,0.0032642017599384394,10179.30510206093,23.304922443811336,1053.0,0.0019784679555831125,63.1578947368421,78.94736842105263
01,AZUAY,section,F,F,Construction,Construcción,Secundario,5,Construcción,6096.33333333333,0.0361501628229899,1721,0.021360042695262562,7959.16886890947,4.832386916449964,18843.0,0.035403866749337695,36.84210526315789,42.10526315789473
01,AZUAY,section,G,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Comercio,Terciario,4,Comercio,45851.0,0.2718882031161207,26003,0.3227339861736853,8701.956116954356,3.6630708489003845,146142.0,0.2745842962628939,52.63157894736842,26.31578947368421
01,AZUAY,section,H,H,Transportation and storage,Transporte,Terciario,6,Servicios,6677.916666666666,0.03959884763820188,8258,0.10249345297935981,8430.49667959809,2.4940523416443,59239.0,0.11130338387539222,47.368421052631575,21.052631578947366
01,AZUAY,section,I,I,Accommodation and food service activities,Alojamiento,Terciario,6,Servicios,8830.583333333334,0.05236377472611642,5521,0.06852341413163546,6419.933971780779,3.8518046390721854,30006.0,0.05637788174285553,5.263157894736842,36.84210526315789
01,AZUAY,section,J,J,Information and communication,Información y comunicaciones,Terciario,6,Servicios,1578.916666666666,0.009362692533861744,823,0.010214593340035497,13067.912564368398,8.609160215810464,7105.0,0.013349491761080736,84.21052631578947,57.89473684210527
01,AZUAY,section,K,K,Financial and insurance activities,Financiero,Terciario,6,Servicios,7468.916666666668,0.044289335711850265,541,0.006714574722915193,15977.19360033911,35.64606227106227,2184.0,0.004103489093061271,89.47368421052632,94.73684210526315
01,AZUAY,section,L,L,Real estate activities,Inmobiliario,Terciario,6,Servicios,4368.333333333334,0.025903432871960355,2300,0.028546251132541486,7589.735751892241,1.8804628017344398,19526.0,0.03668714653439303,26.31578947368421,10.526315789473683
01,AZUAY,section,M,M,"Professional, scientific and technical activities",Act. Profesionales,Terciario,6,Servicios,11959.083333333332,0.0709152183903502,7530,0.09345794392523364,8352.35605758385,2.08099428388921,70969.0,0.13334272776807019,42.10526315789473,15.789473684210526
01,AZUAY,section,N,N,Administrative and support service activities,Servicios admin.,Terciario,6,Servicios,7316.333333333332,0.043384543922675135,2276,0.028248377207680184,6935.413766388786,13.1537181972667,13927.0,0.02616725851605509,10.526315789473683,73.68421052631578
01,AZUAY,section,O,O,Public administration and defence; compulsory social security,Admin. Publica,Terciario,6,Servicios,9591.833333333336,0.05687785063770281,275,0.0034131387223690908,12642.000472474874,149.86984600099353,2013.0,0.003782199425060594,73.68421052631578,100.0
01,AZUAY,section,P,P,Education,Educación,Terciario,6,Servicios,16088.833333333334,0.09540389490381337,1803,0.022377778605205345,12390.536043138844,12.360524035168645,23847.0,0.044805817033989066,68.42105263157895,63.1578947368421
01,AZUAY,section,Q,Q,Human health and social work activities,Salud,Terciario,6,Servicios,10827.333333333336,0.06420414395627748,2997,0.03719700636705514,12676.365457810798,6.366945846868355,25551.0,0.04800744039231159,78.94736842105263,47.368421052631575
01,AZUAY,section,R,R,"Arts, entertainment and recreation",Arte,Terciario,6,Servicios,947.6666666666667,0.0056194932968319945,1001,0.01242382494942349,7777.60806063082,3.8354765506807866,4627.0,0.008693609905491987,31.57894736842105,31.57894736842105
01,AZUAY,section,S,S,Other service activities,Otros servicios,Terciario,6,Servicios,5961.833333333333,0.035352601955852485,9693,0.12030383140335853,7147.065569349078,1.653006326648279,42782.0,0.08038254138248502,15.789473684210526,5.263157894736842
01,AZUAY,section,T,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Servicios hogares,Terciario,,Otros / No clasificado,2.0,1.185964114702496e-05,2,2.4822827071775203e-05,,,,,,
02,BOLÍVAR,section,A,A,"Agriculture, forestry and fishing",Agricultura,Primario,1,"Agricultura, ganadería, silvicultura y pesca",696.5833333333329,0.04453454237414554,405,0.03632286995515695,7200.0512705127985,12.569081603988904,18986.0,0.03567254758281194,21.052631578947366,68.42105263157895
02,BOLÍVAR,section,B,B,Mining and quarrying,Minas y canteras,Primario,2,Explotación de minas y canteras,78.16666666666667,0.004997416048205352,10,0.0008968609865470852,17968.203752988098,26.755432306645417,1361.0,0.0025571651353738047,100.0,84.21052631578947
02,BOLÍVAR,section,C,C,Manufacturing,Manufactura,Secundario,3,Industrias manufactureras,386.0833333333333,0.02468339930845991,707,0.06340807174887893,9984.943986812032,8.425264484985249,43347.0,0.08144411250775041,57.89473684210527,52.63157894736842
02,BOLÍVAR,section,D,D,"Electricity, gas, steam and air conditioning supply",Electricidad,Secundario,6,Servicios,216.5833333333333,0.013846784977916532,23,0.0020627802690582958,17860.869786368108,34.272948717948715,650.0,0.0012212765157920448,94.73684210526315,89.47368421052632
