id_code,id_name,id_abbr,region,year_gva,gva_real,year_enemdu,tasa_desempleo,tasa_informalidad,tasa_subempleo,gva_per_worker,year_reem,num_empresas,avg_sales_per_firm_M,formal_wage_per_fte,year_census,share_working_age,avg_schooling,share_nbi_poor,share_rural,net_migration_rate,year_malnutrition,malnutrition
01,AZUAY,AZU,Sierra,2023,4715.280065162906,2023,0.0298,0.4786,0.1749,11467.309772519968,2024,69170,0.16106080988868,10350.646125192368,2022,0.6544188001881216,11.5847802122089,0.2574673658652582,0.4758778905925457,0.0055026827293605,2023,0.210837612
02,BOLÍVAR,BOL,Sierra,2023,447.2532250626565,2023,0.0071,0.7654,0.1712,4417.705754230503,2024,8814,0.0356518922169276,9729.15568852211,2022,0.6316569384864225,10.544037417545178,0.5856255635083336,0.6776539848702519,-0.4986588171470479,2023,0.243060684
03,CAÑAR,CAÑ,Sierra,2023,761.0267611027567,2023,0.0276,0.6023,0.1584,5136.780396272619,2024,14055,0.0653948005691924,9314.164495129044,2022,0.6179287980384747,10.315227278167413,0.3918383710223843,0.5557654957860602,-0.0016565748886096,2023,0.197004197
04,CARCHI,CAR,Sierra,2023,558.2888804010023,2023,0.0454,0.6282,0.1822,6721.650234289019,2024,9240,0.0717640126623376,9147.163675814922,2022,0.661576827828824,10.658520972964832,0.3335797783159464,0.491072048510658,-0.409968292174879,2023,0.222753903
05,COTOPAXI,COT,Sierra,2023,1595.8527949874688,2023,0.0141,0.6982,0.2078,5555.206761491124,2024,25771,0.0785982893562531,8661.831152423723,2022,0.6482720486591098,10.587957253830416,0.4856153041565811,0.6672103953552668,-0.1648327343102018,2023,0.281866932
06,CHIMBORAZO,CHI,Sierra,2023,1278.7426311779448,2023,0.0177,0.7494,0.1523,3872.977734775249,2024,29303,0.0503394316622871,9912.57063398892,2022,0.6450385965804468,11.005715562132655,0.4275450705063366,0.5239430173350879,-0.2556316256756785,2023,0.401176594
07,EL ORO,ORO,Costa,2023,3780.234001804512,2023,0.0564,0.4195,0.2429,11900.12228006942,2024,45848,0.1427710105348106,7997.84724219619,2022,0.6579166853253325,11.55358609067768,0.3658355095049561,0.2146217701849447,0.029024954099682,2023,0.098271579
08,ESMERALDAS,ESM,Costa,2023,1701.5508429072686,2023,0.0905,0.6366,0.2301,7765.470946710192,2024,17569,0.1260500303944447,9609.57804018286,2022,0.6121068784979238,10.658486491064624,0.6297115865013398,0.5512077992417403,-0.1500523560209424,2023,0.151707773
09,GUAYAS,GUA,Costa,2023,33841.95771609021,2023,0.0308,0.4946,0.2087,19631.02663619323,2024,237738,0.3285720028056095,9755.57275535044,2022,0.6590088214205941,11.789549578712908,0.3911442563022973,0.1474208450375837,0.0774371499682485,2023,0.171462957
10,IMBABURA,IMB,Sierra,2023,1560.0468144360905,2023,0.056,0.5466,0.1888,7148.950032171838,2024,31490,0.063040146363925,8980.660270947923,2022,0.6610020877715327,11.069666146471963,0.326615683102214,0.4772526544067728,-0.0838492462953228,2023,0.223053642
11,LOJA,LOJ,Sierra,2023,1781.57345283208,2023,0.0357,0.6216,0.2074,6500.028124172692,2024,32726,0.0537205714111104,9822.05780618304,2022,0.6384725835923868,11.578216992497152,0.3936412325615526,0.3957018752793966,-0.373805418389398,2023,0.121219194
12,LOS RÍOS,RIO,Costa,2023,3680.360420050125,2023,0.0197,0.565,0.2332,10042.424511248422,2024,29137,0.147164331056732,8836.677750175268,2022,0.6380200567071569,10.55731993279119,0.6138259368127243,0.4600546151346684,-0.1090488865545283,2023,0.105472156
13,MANABÍ,MAN,Costa,2023,5563.243049022557,2023,0.019,0.5977,0.2506,8666.763279705097,2024,71792,0.1183309427094941,9345.940605296975,2022,0.6516756234147811,10.73907777262401,0.6012042006061278,0.4197000326460912,-0.2273354511438688,2023,0.192351133
14,MORONA SANTIAGO,MOR,Amazonia,2023,493.45594486215526,2023,0.0056,0.8079,0.2319,5640.796178000883,2024,9937,0.026355670725571,9736.381563056802,2022,0.572989174475866,10.576914510101552,0.6540797547611475,0.6735927857543582,0.0333804309431296,2023,0.196923767
15,NAPO,NAP,Amazonia,2023,466.1848533333335,2023,0.0077,0.8635,0.2334,7339.349000059346,2024,6852,0.0285544175423234,10003.265188013844,2022,0.6232542244161762,11.60037645371636,0.6171251582978593,0.6607176760964496,0.0041845452819441,2023,0.174917821
16,PASTAZA,PAS,Amazonia,2023,876.2506418045114,2023,0.0105,0.841,0.1625,17806.07571666571,2024,6853,0.0308132180067123,10048.829523678634,2022,0.6075771791091453,11.731658452538364,0.5293189398558261,0.657007550373051,0.1493365500603136,2023,0.250292185
17,PICHINCHA,PIC,Sierra,2023,28563.316087619045,2023,0.0754,0.2961,0.1421,20569.516540148183,2024,297627,0.2987865423197492,11236.76598496027,2022,0.6874169154415656,12.979241141890071,0.1586775267559466,0.3662093826358087,0.1736538885434506,2023,0.223045016
18,TUNGURAHUA,TUN,Sierra,2023,2594.2021335338345,2023,0.0199,0.5518,0.1968,7494.568820477079,2024,49369,0.0909691893090806,9191.31236475017,2022,0.663419291184884,11.384060824174938,0.3155957251472934,0.6002906667234513,-0.0475199278834209,2023,0.278867941
19,ZAMORA CHINCHIPE,ZAM,Amazonia,2023,1561.25249283208,2023,0.0252,0.6987,0.2052,28040.66481619389,2024,8346,0.3697650458902468,12671.559781133436,2022,0.6303244933452281,11.182498812107514,0.5010412893879029,0.5366080037486596,0.1325817991763762,2023,0.117466551
21,SUCUMBIOS,SUC,Amazonia,2023,2925.675063859649,2023,0.0274,0.7489,0.1165,33859.064814107944,2024,11854,0.0555464476969799,9265.48323726632,2022,0.644869205181545,10.908703114564558,0.5922644454434786,0.5928226154943873,0.2262202659109409,2023,0.119727848
22,ORELLANA,ORE,Amazonia,2023,5487.073374235592,2023,0.0126,0.7949,0.2124,66628.35784005222,2024,9710,0.0680706407826982,9302.810056018225,2022,0.6184743585520899,10.884301834269523,0.6868595291079426,0.5974111524653338,0.2920468144439687,2023,0.189619428
23,SANTO DOMINGO DE LOS TSACHILAS,SDT,Costa,2023,1887.613067067669,2023,0.0192,0.5505,0.1975,9135.049116630336,2024,30917,0.1110052431995342,8413.139365023717,2022,0.6498643930957119,11.028230600729056,0.4670244243926462,0.2488371479748219,0.1334282683089606,2023,0.120073902
24,SANTA ELENA,SEL,Costa,2023,1147.2903077694236,2023,0.0286,0.6199,0.2745,8317.474295473956,2024,14206,0.0748074379135576,8856.692698381934,2022,0.638013143738577,10.921850879054148,0.4726793481789262,0.4768817970886748,0.1075790374220643,2023,0.326304446
