hs_code,export_value,import_value,national_export_share,year
270900,11123403764,894320,0.3222338835158131,2024
030617,5790733600,1991628,0.16775176159410563,2024
080390,3275003399,288001,0.0948735734292687,2024
180100,2665208879,384887,0.07720843598615924,2024
160414,1302583015,19960126,0.03773452734707245,2024
710812,1043670910,1702,0.030234102580202146,2024
260300,965687793,0,0.02797500966469499,2024
271019,812136196,3197522930,0.02352677345290687,2024
261690,726425205,1337,0.021043811755579518,2024
060311,717194272,1006260,0.02077640085760501,2024
000000,535516273,57972316,0.015513370906591176,2024
081090,246757041,4392,0.007148304717989262,2024
080310,231991961,9920,0.006720575115633199,2024
060319,202003531,854363,0.00585184028729616,2024
071080,187950499,969174,0.0054447380034441896,2024
441019,174336696,2887056,0.005050359744488343,2024
180310,170409125,139748,0.004936581940232951,2024
440722,130978755,303377,0.003794323552140746,2024
030616,125434755,84955,0.0036337194162023006,2024
200899,125185658,1943974,0.0036265033252120666,2024
210111,121276367,31840391,0.003513255074276471,2024
230120,99350187,37609535,0.0028780755660999173,2024
240110,80058980,0,0.002319228590731107,2024
740400,78951550,9803772,0.002287147451073403,2024
732111,76638017,8149112,0.00222012671362209,2024
200891,74427988,58048,0.002156104383545628,2024
151110,71684022,2418868,0.0020766144325220937,2024
080450,70506502,502697,0.0020425028556551677,2024
854449,67752463,71119419,0.001962721099894746,2024
441231,67394485,459678,0.0019523508352167205,2024
880730,66697846,3471144,0.0019321699000334554,2024
080430,66404850,0,0.0019236820989127084,2024
230990,58872065,323321688,0.0017054648503313447,2024
440342,58815164,0,0.0017038164852629766,2024
151190,57035630,10721063,0.0016522651648367347,2024
442199,54950254,1523244,0.0015918539075158885,2024
160420,53348017,1775596,0.0015454387038806782,2024
030487,53117326,390267,0.0015387558163042394,2024
030389,50293364,1905388,0.001456948461157594,2024
880240,46269682,19932706,0.0013403864173442688,2024
999999,44971952,856766324,0.0013027924769886774,2024
200799,44631604,10762447,0.0012929329357804563,2024
160521,44017458,0,0.0012751417403132751,2024
390761,43739075,64590637,0.001267077263189366,2024
071450,43543749,0,0.0012614188642975346,2024
160413,43480786,209407,0.0012595948891512337,2024
392020,39620449,13079048,0.001147764786641095,2024
071440,39174573,0,0.0011348482048020457,2024
100630,38938494,691258,0.0011280092322536667,2024
081190,37596666,259704,0.001089137816936565,2024
170490,36164840,44916016,0.0010476592495584625,2024
711291,35635344,3151,0.0010323202799403415,2024
180400,34505206,888071,0.0009995813122308894,2024
760429,31816425,8932352,0.000921690015471743,2024
780110,31741965,545580,0.0009195329837325697,2024
160419,29140085,0,0.0008441591220414582,2024
150420,28366921,19639858,0.0008217613341340428,2024
401120,28212814,70864405,0.0008172970084527537,2024
850421,27923795,6494770,0.0008089244170449627,2024
030279,27406527,0,0.0007939396803587059,2024
760421,27212810,5373865,0.0007883278925878568,2024
760200,26650772,8014935,0.0007720462137720971,2024
200989,25844360,740750,0.0007486852645530506,2024
030479,24785102,388228,0.0007179996195628115,2024
401110,24764983,75968758,0.0007174167922520349,2024
151620,23985920,7969431,0.0006948481162136849,2024
300490,23391218,332776092,0.0006776201939822878,2024
030259,23279733,0,0.0006743905850185257,2024
170114,21223919,1258769,0.0006148357092753513,2024
850710,20283904,19189406,0.0005876044147507882,2024
340250,19629078,30000367,0.0005686347603640588,2024
530500,19405684,347900,0.0005621632595805391,2024
030489,18123452,5509518,0.0005250182807867757,2024
480519,17607202,16293767,0.0005100630345425076,2024
060420,17370613,4467708,0.0005032092878041345,2024
060390,17153669,250512,0.0004969246370705432,2024
060312,17056549,860420,0.0004941111677916215,2024
030247,16944410,0,0.0004908626131018666,2024
252310,16077989,27001,0.00046576326316248644,2024
710813,15513832,151751,0.00044942019903575025,2024
030343,15415707,60420361,0.00044657761591183974,2024
630533,15087083,3579432,0.00043705770725948847,2024
071490,15074054,123852,0.0004366802701586331,2024
160415,14920580,222435,0.00043223428185433716,2024
190531,14193657,24551331,0.00041117604947540817,2024
230910,14049146,18283520,0.00040698971031801265,2024
180500,13852227,5211670,0.00040128516380919904,2024
110630,13799121,507567,0.0003997467360957887,2024
691090,13619793,515027,0.00039455178326577975,2024
240120,13545702,0,0.0003924054410876024,2024
350300,13487023,2889475,0.0003907055691372539,2024
701090,13387294,15394581,0.0003878165197373612,2024
441114,12845897,5075196,0.0003721327900503723,2024
961900,12690148,32953870,0.0003676208972711016,2024
780191,12584842,2880180,0.00036457028775827076,2024
730661,12481088,4687979,0.00036156463813342277,2024
190590,12446017,19964713,0.0003605486663348122,2024
640192,12224547,729880,0.00035413290190727115,2024
180690,12081829,30975196,0.00034999850416685574,2024
071333,11791310,300736,0.00034158245925908134,2024
200599,11778996,637869,0.00034122573499321805,2024
