hs_code,export_value,import_value,national_export_share,year
270900,11128147697,895965,0.32238859595897357,2024
030613,5921523520,2133086,0.17154981273887013,2024
080300,3483237663,300257,0.10091132236398338,2024
180100,2673933993,386723,0.07746534725834363,2024
160414,1308985885,20045305,0.03792204534713631,2024
710812,1044798826,1707,0.03026840007385318,2024
260300,965565721,0,0.027972973182520115,2024
060310,950875447,2737350,0.027547387816647468,2024
261690,743123460,1346,0.021528697804591553,2024
271000,574365510,3232935175,0.016639686619730868,2024
000000,543574172,57935258,0.01574764452109892,2024
081090,247603093,5159053,0.007173198602395325,2024
271029,222014476,1249656817,0.006431882209786169,2024
071080,188453724,973227,0.005459608655264231,2024
441010,181202016,16464407,0.005249522662151944,2024
180310,171110530,139920,0.00495716672913744,2024
200899,153560141,3571858,0.004448722249220162,2024
440723,131069173,304199,0.003797146462062617,2024
210110,122319015,34339616,0.003543649543361612,2024
030420,113734454,14007798,0.0032949500613750223,2024
230120,99427964,37688665,0.002880483130329122,2024
240110,81370928,0,0.0023573608064952995,2024
740400,77424853,9830830,0.0022430408303916603,2024
732111,77256216,8365565,0.002238155323195221,2024
200891,74730947,58228,0.002164996883040064,2024
151110,71849330,2423279,0.002081514844158431,2024
080450,70617862,503663,0.002045838534830201,2024
030269,70424701,5970419,0.0020402425537846924,2024
880330,66994438,3528060,0.0019408659367185703,2024
080430,66908003,0,0.0019383618669442963,2024
071490,65255544,84075,0.0018904892154127761,2024
030379,62832249,3405223,0.001820285018459584,2024
230990,58986827,326093586,0.0017088810154570033,2024
151190,57129523,10740582,0.0016550738909352461,2024
442190,55027037,2700806,0.0015941637082148882,2024
160420,53955434,1796242,0.0015631187763895712,2024
160520,51517247,58989,0.0014924831499566718,2024
854459,46986349,49383410,0.0013612205279618982,2024
880240,46331884,20346942,0.0013422603147980156,2024
999999,46114605,866362074,0.0013359656219480767,2024
200799,44847774,10817863,0.001299264826943585,2024
390760,44420196,65820464,0.0012868776557057242,2024
160413,43557051,209850,0.0012618718674797084,2024
392020,39772238,13144745,0.001152223740741939,2024
100630,38974860,694043,0.0011291232588946435,2024
441211,37985064,270607,0.0011004483211229392,2024
081190,37720978,260385,0.0010927976035848019,2024
170490,36702523,45067836,0.001063292398726143,2024
711210,35683603,3293,0.001033773722560201,2024
180400,34615293,927396,0.0010028241907668928,2024
440332,34172244,0,0.0009899888160989653,2024
780110,32272810,546987,0.0009349611621667823,2024
760429,31858160,8980466,0.0009229485222419522,2024
160419,29174608,19613,0.0008452045359991988,2024
441212,28691836,660007,0.0008312183640426328,2024
850421,28396396,6508019,0.000822659303776404,2024
150420,28385922,20095863,0.0008223558662011654,2024
401120,28247302,71369468,0.0008183399681030587,2024
760421,27250075,5387531,0.0007894497501498004,2024
760200,26793446,8183248,0.0007762209553680924,2024
200980,25942210,888948,0.000751560177461297,2024
401110,24801007,76899038,0.0007184988951264703,2024
151620,24171774,8117099,0.0007002696669633915,2024
440399,23794786,1524,0.0006893481160168538,2024
300490,23530214,339982645,0.0006816833187898138,2024
170111,22012407,1431218,0.0006377116102009156,2024
854449,20878689,21944162,0.0006048671724575212,2024
850710,20456264,19111992,0.0005926292864808026,2024
340220,19809653,34306598,0.000573896608042519,2024
190530,18524042,30302422,0.0005366517460470993,2024
060491,17812794,4473191,0.0005160464979553218,2024
060390,17238949,255671,0.0004994218907982878,2024
271011,16907466,95178896,0.0004898186448795552,2024
252310,16086389,27087,0.00046603158988966077,2024
630531,16011686,3882955,0.0004638674026466737,2024
710813,16002257,152491,0.00046359423929963106,2024
030343,15594102,60673746,0.00045176976311846857,2024
160415,14946624,223078,0.00043301196721047595,2024
110630,14465122,510025,0.00041906258785659787,2024
230910,14070866,18745664,0.00040764077339571804,2024
180500,13887077,5234807,0.0004023163043757142,2024
691090,13865649,517621,0.0004016955233596542,2024
240120,13758389,0,0.00039858814181295874,2024
701090,13584771,16023974,0.0003935583322905443,2024
350300,13536121,2914977,0.0003921489148726184,2024
780191,12887741,2892988,0.00037336498752555135,2024
730660,12638385,4703389,0.0003661410062374869,2024
190590,12454060,20038922,0.0003608010090009155,2024
640192,12234425,732838,0.0003544380615274076,2024
180690,12192862,31110847,0.0003532339584207014,2024
071333,11825721,301726,0.00034259768051248473,2024
200590,11808125,654549,0.000342087914656661,2024
080440,11592168,410385,0.0003358315208781815,2024
481840,11573653,29938807,0.0003352951310838773,2024
760820,11019604,2945499,0.00031924402499992167,2024
210390,10877585,21026190,0.0003151296559911566,2024
392330,10829304,13290603,0.00031373092870739746,2024
392321,10704500,32031079,0.0003101152877736497,2024
030490,10307823,1819208,0.00029862333560323653,2024
090111,10296281,56585056,0.0002982889574770762,2024
151790,10199770,2048393,0.00029549298040777613,2024
481930,10085092,3287312,0.0002921706952967194,2024
392190,9970374,25447009,0.0002888472513635308,2024
731021,9626264,22130785,0.00027887819426831,2024
854470,9510198,18300023,0.0002755156980292763,2024
030623,9301257,171327,0.0002694625616527324,2024
760120,9084883,27183511,0.0002631940871535278,2024
842129,8810239,12792409,0.0002552374985136748,2024
340211,8174487,15975267,0.00023681941131364927,2024
030342,8163652,54220588,0.0002365055153686703,2024
490199,8078299,25506120,0.00023403279173306432,2024
730630,7962252,4775913,0.00023067084593454324,2024
480580,7940969,9267612,0.00023005426564871143,2024
830990,7932478,43848279,0.0002298082766806619,2024
210690,7921821,149117036,0.0002294995374941699,2024
530410,7843501,165479,0.0002272305637599056,2024
180620,7828295,3747228,0.00022679003752646302,2024
030231,7786046,0,0.00022556606062019472,2024
940161,7558933,8517833,0.0002189864713491277,2024
030410,7495303,223190,0.00021714307504280445,2024
060299,7054774,5109817,0.00020438070616918697,2024
650400,6990271,1066921,0.00020251201856983495,2024
691010,6958650,6578367,0.00020159594070401306,2024
070920,6765412,0,0.00019599772892590062,2024
441119,6154701,3913299,0.0001783050933509991,2024
390422,6152927,4703915,0.00017825369958944924,2024
151329,6129290,315338,0.00017756892262115498,2024
610990,6113740,11801276,0.00017711843051737805,2024
151219,6001630,5976743,0.00017387054178718945,2024
890200,5733785,109320,0.00016611092393920652,2024
720720,5675467,52218,0.00016442141921199987,2024
350691,5595739,17038257,0.0001621116549386926,2024
940360,5536503,10095248,0.00016039555524355878,2024
481910,5514888,2644187,0.0001597693567340322,2024
071029,5400002,14120,0.00015644104574788958,2024
392010,5305710,36120218,0.00015370935433635678,2024
