codigo_clase,class_name,sector,phi_mass,phi_mass_noself,n_neighbors_pos
8030,Investigation activities,Terciario,1.237367,0.237367,12
8110,Combined facilities support activities,Terciario,1.326845,0.326845,67
8121,General cleaning of buildings,Terciario,1.499303,0.499303,133
8129,Other building and industrial cleaning activities,Terciario,1.574232,0.574232,153
8130,Landscape care and maintenance service activities,Terciario,1.437255,0.437255,117
8211,Combined office administrative service activities,Terciario,1.424549,0.424549,155
8219,"Photocopying, document preparation and other specialized office support activities",Terciario,1.427695,0.427695,139
8220,Activities of call centres,Terciario,1.217133,0.217133,44
8230,Organization of conventions and trade shows,Terciario,1.726679,0.726679,207
8291,Activities of collection agencies and credit bureaus,Terciario,1.360944,0.360944,86
8292,Packaging activities,Terciario,1.379665,0.379665,104
8299,Other business support service activities n.e.c.,Terciario,1.148609,0.148609,57
8411,General public administration activities,Terciario,2.395978,1.395978,136
8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",Terciario,2.178696,1.178696,116
8413,Regulation of and contribution to more efficient operation of businesses,Terciario,1.91176,0.91176,119
8421,Foreign affairs,Terciario,1.018183,0.018183,2
8422,Defence activities,Terciario,1.203732,0.203732,17
8423,Public order and safety activities,Terciario,1.174237,0.174237,23
8430,Compulsory social security activities,Terciario,1.311803,0.311803,33
8510,Pre-primary and primary education,Terciario,1.745842,0.745842,150
8521,General secondary education,Terciario,1.57015,0.57015,112
8522,Technical and vocational secondary education,Terciario,1.435386,0.435386,103
8530,Higher education,Terciario,1.659441,0.659441,178
8541,Sports and recreation education,Terciario,1.314421,0.314421,105
8542,Cultural education,Terciario,1.205912,0.205912,60
8549,Other education n.e.c.,Terciario,2.000231,1.000231,244
8550,Educational support activities,Terciario,1.339419,0.339419,72
8610,Hospital activities,Terciario,1.625193,0.625193,112
8620,Medical and dental practice activities,Terciario,2.007633,1.007633,226
8690,Other human health activities,Terciario,1.830604,0.830604,176
8710,Residential nursing care facilities,Terciario,1.334416,0.334416,51
8720,"Residential care activities for mental retardation, mental health and substance abuse",Terciario,1.487392,0.487392,81
8730,Residential care activities for the elderly and disabled,Terciario,1.343925,0.343925,50
8790,Other residential care activities,Terciario,2.107314,1.107314,95
8810,Social work activities without accommodation for the elderly and disabled,Terciario,1.618527,0.618527,66
8890,Other social work activities without accommodation,Terciario,1.961561,0.961561,131
9000,"Creative, arts and entertainment activities",Terciario,1.589855,0.589855,183
9101,Library and archives activities,Terciario,1.807956,0.807956,66
9102,Museums activities and operation of historical sites and buildings,Terciario,1.200703,0.200703,22
9103,Botanical and zoological gardens and nature reserves activities,Terciario,1.093907,0.093907,22
9200,Gambling and betting activities,Terciario,1.290584,0.290584,106
9311,Operation of sports facilities,Terciario,1.691885,0.691885,190
9312,Activities of sports clubs,Terciario,1.079363,0.079363,32
9319,Other sports activities,Terciario,1.344866,0.344866,116
9321,Activities of amusement parks and theme parks,Terciario,1.332432,0.332432,92
9329,Other amusement and recreation activities n.e.c.,Terciario,1.538235,0.538235,171
9411,Activities of business and employers membership organizations,Terciario,1.288644,0.288644,63
9412,Activities of professional membership organizations,Terciario,1.211611,0.211611,68
9420,Activities of trade unions,Terciario,1.334144,0.334144,70
9491,Activities of religious organizations,Terciario,1.622477,0.622477,67
