id_code,id_name,codigo_clase,class_name,sector,intensity,density,density_cont,density_noself,density_cont_noself,density_dir,M,rca,state
01,AZUAY,2513,"Manufacture of steam generators, except central heating hot water boilers",Secundario,16.8333333333333,0.9997631298649932,0.6118995536109271,0.9589399056087804,0.6354345650577358,0.639660742049171,1,1.5757462283997647,specialized
01,AZUAY,0721,Mining of uranium and thorium ores,Primario,25.5833333333333,0.9995754770553619,0.7784399943917097,0.991196042411446,0.9163328402563029,0.9191540018010189,1,3.375486787656372,specialized
01,AZUAY,1420,Manufacture of articles of fur,Secundario,20.75,0.9994589014928047,0.7624167302045153,0.9932048821696104,0.7281726535367221,0.7580856079188099,1,3.2622027306532138,specialized
01,AZUAY,2670,Manufacture of optical instruments and photographic equipment,Secundario,14.91666666666666,0.9981666207277445,0.7427716558605478,0.9739292567640886,0.669778749492629,0.7328987369472483,1,2.9728737778320253,specialized
01,AZUAY,1511,Tanning and dressing of leather; dressing and dyeing of fur,Secundario,44.5833333333333,0.994812723826028,0.7287603220375642,0.9178606184873686,0.7090461090490909,0.7582455289604688,1,2.704928256860613,specialized
01,AZUAY,0124,Growing of pome fruits and stone fruits,Primario,1.0,0.9942080780214755,0.5110599216386066,0.3156388080158477,0.2984045815375686,0.5535171568388472,1,1.0528613413280177,specialized
01,AZUAY,7830,Other human resources provision,Terciario,8.08333333333333,0.9913944276077257,0.500267032793244,0.23427855766467162,0.4308316816761711,0.39953320225521405,1,1.0042339551820567,specialized
01,AZUAY,2823,Manufacture of machinery for metallurgy,Secundario,22.5,0.9894852422045898,0.785510408189046,0.12057217665398595,0.32817213412310986,0.35468959701140357,1,3.7857120868573975,specialized
01,AZUAY,9523,Repair of footwear and leather goods,Terciario,32.16666666666666,0.9891213737434477,0.6392539363518783,0.7631672708123505,0.5831092298339233,0.6297779243232439,1,1.7929609312615349,specialized
01,AZUAY,2826,"Manufacture of machinery for textile, apparel and leather production",Secundario,4.58333333333333,0.9875264686019691,0.5090054364766003,0.14512270026609195,0.5151787857444556,0.5096188580393803,1,1.0363033267409705,specialized
01,AZUAY,2211,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,Secundario,47.416666666666664,0.9873555361819135,0.7479205699341627,0.7029984690353733,0.583983163811957,0.7253716942062248,1,3.0851400446498425,specialized
01,AZUAY,0710,Mining of iron ores,Primario,322.083333333333,0.9747812249910621,0.8892088545364278,0.7978982168289985,0.61844164988255,0.5579013275014851,1,12.852909626692373,specialized
01,AZUAY,2392,Manufacture of clay building materials,Secundario,371.4166666666663,0.9743680057832416,0.8218347140378468,0.7588030192328249,0.6097743509352874,0.7523918863807455,1,5.538083790282026,specialized
01,AZUAY,2591,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",Secundario,31.25000000000003,0.974069588680963,0.5238564959313824,0.6338732747491679,0.5231767249844795,0.520367173712551,1,1.100435734707282,specialized
01,AZUAY,2432,Casting of non-ferrous metals,Secundario,30.5,0.973567857235504,0.8016971555792969,0.5227572971893504,0.5564731962404319,0.7608065764419006,1,4.437006029504463,specialized
01,AZUAY,0510,Mining of hard coal,Primario,4.25,0.972589518667794,0.6516126884808389,0.6410750321764522,0.6822461746149884,0.5858335865504768,1,1.8496509785543342,specialized
01,AZUAY,2750,Manufacture of domestic appliances,Secundario,225.41666666666663,0.9722631466175321,0.824103833566404,0.3099811794401098,0.40581283278361624,0.779394513113889,1,5.3140149063465705,specialized
01,AZUAY,1393,Manufacture of carpets and rugs,Secundario,7.083333333333333,0.9701902009388287,0.5118986243505722,0.46986105047592736,0.5238203559114211,0.7414793013210189,1,1.0457776425018028,specialized
01,AZUAY,9800,,,8.0,0.9691040289018342,0.509391727485968,0.4218174974683536,0.380136872167599,0.33606954102828945,1,1.0690592081176793,specialized
01,AZUAY,0144,Raising of sheep and goats,Primario,8.25,0.9686129044031052,0.7696564311828594,0.26576340913182056,0.40163198199889494,0.3890839851977932,1,3.6748910279045215,specialized
01,AZUAY,5912,"Motion picture, video and television programme post-production activities",Terciario,14.3333333333333,0.9679946260789869,0.6763620689091782,0.11315759880767362,0.32722527473798074,0.27884210316647823,1,2.219926067376602,specialized
01,AZUAY,1623,Manufacture of wooden containers,Secundario,16.91666666666667,0.9658381957090063,0.543779551748585,0.6054825193808754,0.4257879093845903,0.557952499127282,1,1.2470152272907338,specialized
01,AZUAY,2818,Manufacture of power-driven hand tools,Secundario,20.5,0.9645132200033446,0.6757632246890359,0.4601950674722034,0.4496206802107719,0.22578235281110215,1,2.243340779239067,specialized
01,AZUAY,1102,Manufacture of wines,Secundario,71.75000000000003,0.9563377293906,0.5399122384615048,0.42503568793300167,0.35683625646397904,0.39947792925885606,1,1.246975793712087,specialized
01,AZUAY,9524,Repair of furniture and home furnishings,Terciario,56.0,0.9548864148868293,0.76525535152846,0.5146229268770466,0.4456445744043097,0.6393144428219985,1,3.950635043196297,specialized
01,AZUAY,2013,Manufacture of plastics and synthetic rubber in primary forms,Secundario,278.5000000000003,0.9531701793349698,0.5780077923997347,0.616306757073281,0.5115189059582331,0.5057344688518605,1,1.422779320316887,specialized
01,AZUAY,2310,Manufacture of glass and glass products,Secundario,131.08333333333331,0.9515896542096014,0.5703960194863378,0.6566604138400363,0.5609090439939515,0.5982895343651136,1,1.3361933247028517,specialized
01,AZUAY,1391,Manufacture of knitted and crocheted fabrics,Secundario,23.083333333333332,0.9504930391670235,0.5319033703716225,0.19066158994304053,0.1976533392146581,0.553081099546897,1,1.240552400242254,specialized
01,AZUAY,0891,Mining of chemical and fertilizer minerals,Primario,0.916666666666667,0.9501838937812362,0.5105479570693437,0.5008692103224515,0.42025186815696564,0.6174236645839368,1,1.0857632582445182,specialized
01,AZUAY,1520,Manufacture of footwear,Secundario,236.24999999999994,0.9472695289443466,0.6216006491582063,0.6807691999530803,0.5360224298565616,0.6477228658736829,1,1.7665072236001191,specialized
01,AZUAY,3212,Manufacture of imitation jewellery and related articles,Secundario,32.66666666666667,0.9467431192060375,0.7057145177869966,0.6533893233304756,0.5759338925449438,0.4902314093585865,1,2.6937923875433607,specialized
01,AZUAY,9529,Repair of other personal and household goods,Terciario,64.08333333333334,0.9445753393878461,0.6186542290394662,0.773008083379102,0.6021250394517141,0.46385366930322425,1,1.6595318173218072,specialized
01,AZUAY,3900,Remediation activities and other waste management services,Secundario,6.25,0.9385192230017467,0.6280164603159079,0.10793984767738811,0.10836569442312217,0.1928965825802928,1,1.9983372851126107,specialized
01,AZUAY,3240,Manufacture of games and toys,Secundario,41.0833333333333,0.9368354938245556,0.7096210770630634,0.46936009846369353,0.4552213599160145,0.6077654486339065,1,2.9061759691322533,specialized
01,AZUAY,2393,Manufacture of other porcelain and ceramic products,Secundario,142.91666666666669,0.935841419272723,0.7682830978795927,0.4935907927680039,0.5211778532236392,0.4565319177047257,1,4.105462836741019,specialized
01,AZUAY,3211,Manufacture of jewellery and related articles,Secundario,332.9166666666666,0.9351902537208486,0.7971464495542198,0.6723557758660518,0.5529306525772901,0.6862784856613767,1,6.010911784773046,specialized
01,AZUAY,1702,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,Secundario,752.0833333333331,0.934990738173057,0.6678904913366186,0.437156794813998,0.47861396904188125,0.5614156911271065,1,2.253164728824274,specialized
01,AZUAY,1512,"Manufacture of luggage, handbags and the like, saddlery and harness",Secundario,134.08333333333331,0.9320440931834867,0.7684547809504158,0.5424825020591109,0.4877077465576459,0.5698684353084653,1,4.477316886151988,specialized
01,AZUAY,3250,Manufacture of medical and dental instruments and supplies,Secundario,173.4166666666666,0.9316940746783349,0.6543886085591221,0.6392279582233195,0.5185632479085212,0.5552836443618897,1,2.1858379252983533,specialized
01,AZUAY,2920,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Secundario,219.91666666666634,0.9291882579559082,0.6743384245141362,0.5191389139117943,0.4427510772117222,0.3085932129579587,1,2.5005600423320864,specialized
01,AZUAY,1399,Manufacture of other textiles n.e.c.,Secundario,245.916666666667,0.9282574102880295,0.7705135581367809,0.5447974831130634,0.4770518242682046,0.30693366353110835,1,4.727971779145367,specialized
01,AZUAY,2420,Manufacture of basic precious and other non-ferrous metals,Secundario,210.08333333333326,0.9249180661648675,0.6989042087298689,0.6111479471700866,0.5109032076844708,0.7077589325591,1,2.904585938755196,specialized
01,AZUAY,4774,Retail sale of second-hand goods,Terciario,22.750000000000007,0.9230701040319662,0.6399350497733934,0.416289166524398,0.4369398073244623,0.564179904673288,1,2.037205288664973,specialized
01,AZUAY,2930,Manufacture of parts and accessories for motor vehicles,Secundario,157.41666666666666,0.921622685225157,0.6338268118039253,0.5112559267182002,0.48225418370874557,0.6009940246896269,1,1.9653895141152482,specialized
01,AZUAY,1701,"Manufacture of pulp, paper and paperboard",Secundario,213.33333333333334,0.919408626940724,0.7592181930629192,0.33066315400639096,0.4393223133119398,0.5335224230906237,1,4.076339418670526,specialized
01,AZUAY,5520,"Camping grounds, recreational vehicle parks and trailer parks",Terciario,9.33333333333334,0.9177034042464031,0.4872838064087036,0.2807002493474103,0.31518856313813276,0.32536891257258,1,1.0388082000929935,specialized
