hs_edition,hs_code,description,parent_code
1992,071230,"Vegetables; mushrooms and truffles, whole, cut, sliced, broken or in powder but not further prepared, dried",0712
1992,071290,"Vegetables; mixtures of vegetables n.e.s. in heading no. 0712, whole, cut, sliced, broken or in powder but not further prepared, dried",0712
1992,071310,"Vegetables, leguminous; peas (pisum sativum), shelled, whether or not skinned or split, dried",0713
1992,071320,"Vegetables, leguminous; chickpeas (garbanzos), shelled, whether or not skinned or split, dried",0713
1992,071331,"Vegetables, leguminous; beans of the species vigna mungo (l.) hepper or vigna radiata (l.) wilczek, dried, shelled, whether or not skinned or split",0713
1992,071332,"Vegetables, leguminous; small red (adzuki) beans (phaseolus or vigna angularis), shelled, dried, whether or not skinned or split",0713
1992,071333,"Vegetables, leguminous; kidney beans, including white pea beans (phaseolus vulgaris), dried, shelled, whether or not skinned or split",0713
1992,071339,"Vegetables, leguminous; n.e.s. in item no. 0713.30, dried, shelled, whether or not skinned or split",0713
1992,071340,"Vegetables, leguminous; lentils, shelled, whether or not skinned or split, dried",0713
1992,071350,"Vegetables, leguminous; broad beans (vicia faba var. major) and horse beans (vicia faba var. equina and vicia faba var. minor), dried, shelled, whether or not skinned or split",0713
1992,071390,"Vegetables, leguminous; n.e.s. in heading no. 0713, shelled, whether or not skinned or split, dried",0713
1992,071410,"Vegetable roots and tubers; manioc (cassava), with high starch or inulin content, whether or not sliced or in the form of pellets, fresh or dried",0714
1992,071420,"Vegetable roots and tubers; sweet potatoes, with high starch or inulin content, whether or not sliced or in the form of pellets, fresh or dried",0714
1992,071490,"Vegetable roots and tubers; arrowroot, salep, Jerusalem artichokes and similar roots and tubers, high starch or inulin content, whether or not sliced or in the form of pellets, fresh or dried; sago pith",0714
1992,080110,"Nuts, edible; coconuts, fresh or dried, whether or not shelled or peeled",0801
1992,080120,"Nuts, edible; Brazil nuts, fresh or dried, whether or not shelled or peeled",0801
1992,080130,"Nuts, edible; cashew nuts, fresh or dried, whether or not shelled or peeled",0801
1992,080211,"Nuts, edible; almonds, fresh or dried, in shell",0802
1992,080212,"Nuts, edible; almonds, fresh or dried, shelled",0802
1992,080221,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, in shell",0802
1992,080222,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled",0802
1992,080231,"Nuts, edible; walnuts, fresh or dried, in shell",0802
