id_code,id_name,id_abbr,region,year,ciiu_code,ciiu_name,sector,gva_real,ciiu_share,total_gva
02,BOLÍVAR,BOL,Sierra,2021,M-N,Act. Profesionales y servicios admin.,Terciario,10.392223873517786,2.4555902618630463,423.20675541501976
02,BOLÍVAR,BOL,Sierra,2022,M-N,Act. Profesionales y servicios admin.,Terciario,10.209791367141433,2.2546758217100558,452.82746498775293
02,BOLÍVAR,BOL,Sierra,2023,M-N,Act. Profesionales y servicios admin.,Terciario,10.640036691729323,2.3789737212601962,447.2532250626566
02,BOLÍVAR,BOL,Sierra,2018,O,Admin. Publica,Terciario,83.43668,20.045427860544002,416.23796
02,BOLÍVAR,BOL,Sierra,2019,O,Admin. Publica,Terciario,78.13330033266801,18.861429948500348,414.249081570193
02,BOLÍVAR,BOL,Sierra,2020,O,Admin. Publica,Terciario,83.81955631967763,20.36094282544711,411.6683448220282
02,BOLÍVAR,BOL,Sierra,2021,O,Admin. Publica,Terciario,78.70122877470357,18.596401821971114,423.20675541501976
02,BOLÍVAR,BOL,Sierra,2022,O,Admin. Publica,Terciario,77.71561771568538,17.162302140349915,452.82746498775293
02,BOLÍVAR,BOL,Sierra,2023,O,Admin. Publica,Terciario,33.03794205513783,7.386853845606028,447.2532250626566
02,BOLÍVAR,BOL,Sierra,2018,P,Educación,Terciario,61.20175,14.703548422157365,416.23796
02,BOLÍVAR,BOL,Sierra,2019,P,Educación,Terciario,59.87511057884232,14.453890966248695,414.249081570193
02,BOLÍVAR,BOL,Sierra,2020,P,Educación,Terciario,52.81938912021491,12.830568535224563,411.6683448220282
02,BOLÍVAR,BOL,Sierra,2021,P,Educación,Terciario,52.168122476943346,12.326864306734524,423.20675541501976
02,BOLÍVAR,BOL,Sierra,2022,P,Educación,Terciario,60.07531045994738,13.266710856765759,452.82746498775293
02,BOLÍVAR,BOL,Sierra,2023,P,Educación,Terciario,64.61053012531328,14.446073612160507,447.2532250626566
02,BOLÍVAR,BOL,Sierra,2018,Q,Salud,Terciario,16.42772,3.946713557792759,416.23796
02,BOLÍVAR,BOL,Sierra,2019,Q,Salud,Terciario,15.231087052561545,3.676794404668026,414.249081570193
02,BOLÍVAR,BOL,Sierra,2020,Q,Salud,Terciario,17.468298401611822,4.2432940548692635,411.6683448220282
02,BOLÍVAR,BOL,Sierra,2021,Q,Salud,Terciario,12.904290276679841,3.0491692562953507,423.20675541501976
02,BOLÍVAR,BOL,Sierra,2022,Q,Salud,Terciario,15.287156469200763,3.3759340259129855,452.82746498775293
02,BOLÍVAR,BOL,Sierra,2023,Q,Salud,Terciario,16.24042947368421,3.6311486566494975,447.2532250626566
02,BOLÍVAR,BOL,Sierra,2018,R-S-U,Otros servicios,Terciario,2.95633,0.7102499733565867,416.23796
02,BOLÍVAR,BOL,Sierra,2019,R-S-U,Otros servicios,Terciario,3.3089601064537595,0.7987851400686976,414.249081570193
02,BOLÍVAR,BOL,Sierra,2020,R-S-U,Otros servicios,Terciario,2.885013404969779,0.7008101160211926,411.6683448220282
02,BOLÍVAR,BOL,Sierra,2021,R-S-U,Otros servicios,Terciario,3.0242784716732545,0.7146101599223011,423.20675541501976
02,BOLÍVAR,BOL,Sierra,2022,R-S-U,Otros servicios,Terciario,3.0784490900843697,0.6798282631040564,452.82746498775293
02,BOLÍVAR,BOL,Sierra,2023,R-S-U,Otros servicios,Terciario,3.574214536340852,0.799147850938388,447.2532250626566
02,BOLÍVAR,BOL,Sierra,2018,T,Servicios hogares,Terciario,4.175590000000001,1.003173761470482,416.23796
02,BOLÍVAR,BOL,Sierra,2019,T,Servicios hogares,Terciario,4.8989973120425825,1.1826211644146916,414.249081570193
02,BOLÍVAR,BOL,Sierra,2020,T,Servicios hogares,Terciario,2.777390033579584,0.674666893511159,411.6683448220282
02,BOLÍVAR,BOL,Sierra,2021,T,Servicios hogares,Terciario,3.214190671936759,0.7594847272191455,423.20675541501976
02,BOLÍVAR,BOL,Sierra,2022,T,Servicios hogares,Terciario,3.6995084459765946,0.8169796958045933,452.82746498775293
02,BOLÍVAR,BOL,Sierra,2023,T,Servicios hogares,Terciario,5.836075989974937,1.3048706332206659,447.2532250626566
03,CAÑAR,CAÑ,Sierra,2018,A,Agricultura,Primario,144.48276,17.999485589312556,802.7049400000001
03,CAÑAR,CAÑ,Sierra,2019,A,Agricultura,Primario,124.94149280106454,15.828211505967401,789.3595100998006
03,CAÑAR,CAÑ,Sierra,2020,A,Agricultura,Primario,114.16861979852251,16.032024058113016,712.1285458697113
03,CAÑAR,CAÑ,Sierra,2021,A,Agricultura,Primario,116.91376695652174,15.402015945115483,759.080937022398
03,CAÑAR,CAÑ,Sierra,2022,A,Agricultura,Primario,93.25048733738547,11.967337949669538,779.2082727968792
03,CAÑAR,CAÑ,Sierra,2023,A,Agricultura,Primario,106.82872421052632,14.037446469783458,761.0267611027568
03,CAÑAR,CAÑ,Sierra,2018,B,Minas y canteras,Primario,0.66875,0.08331205735447447,802.7049400000001
03,CAÑAR,CAÑ,Sierra,2019,B,Minas y canteras,Primario,0.6002691151031272,0.07604508559442501,789.3595100998006
03,CAÑAR,CAÑ,Sierra,2020,B,Minas y canteras,Primario,0.3883532034922767,0.05453414355381402,712.1285458697113
